Club,Position,Starter_Name,Starter_Rating,Backup_Name,Backup_Rating,Gap
Tottenham Hotspur,Defender,J. Vertonghen,87,T. Alderweireld,86,1
Tottenham Hotspur,Midfielder,C. Eriksen,88,D. Alli,84,4
Tottenham Hotspur,Attacker,H. Kane,89,Llorente,76,13
Liverpool,Goalkeeper,Alisson,85,S. Mignolet,79,6
Liverpool,Defender,V. van Dijk,86,A. Robertson,82,4
Liverpool,Midfielder,M. Salah,88,S. Mané,86,2
Liverpool,Attacker,D. Sturridge,80,D. Origi,77,3
Napoli,Goalkeeper,O. Karnezis,79,D. Ospina,79,0
Napoli,Defender,K. Koulibaly,87,Raúl Albiol,84,3
Napoli,Midfielder,M. Hamšík,87,José Callejón,84,3
Napoli,Attacker,L. Insigne,88,D. Mertens,87,1
Arsenal,Goalkeeper,B. Leno,84,P. Čech,82,2
Arsenal,Defender,Sokratis,84,S. Mustafi,82,2
Arsenal,Midfielder,P. Aubameyang,88,M. Özil,86,2
Arsenal,Attacker,A. Lacazette,85,D. Welbeck,77,8
Milan,Goalkeeper,Pepe Reina,83,G. Donnarumma,82,1
Milan,Defender,A. Romagnoli,82,M. Caldara,80,2
Milan,Midfielder,Samu Castillejo,82,G. Bonaventura,82,0
Milan,Attacker,G. Higuaín,88,Suso,83,5
Inter,Goalkeeper,S. Handanovič,88,D. Padelli,74,14
Inter,Defender,M. Škriniar,85,Miranda,85,0
Inter,Midfielder,I. Perišić,85,R. Nainggolan,85,0
Inter,Attacker,M. Icardi,87,L. Martínez,79,8
Lazio,Goalkeeper,T. Strakosha,81,S. Proto,76,5
Lazio,Defender,F. Acerbi,83,S. Radu,80,3
Lazio,Midfielder,S. Milinković-Savić,85,M. Badelj,80,5
Lazio,Attacker,C. Immobile,87,Luis Alberto,82,5
Borussia Dortmund,Goalkeeper,R. Bürki,82,M. Hitz,79,3
Borussia Dortmund,Defender,M. Akanji,81,O. Toprak,81,0
Borussia Dortmund,Midfielder,M. Reus,86,A. Witsel,84,2
Borussia Dortmund,Attacker,Paco Alcácer,81,M. Philipp,79,2
Vissel Kobe,Goalkeeper,Kim Seung Gyu,68,K. Ogi,56,12
Vissel Kobe,Defender,H. Watanabe,66,M. Mihara,66,0
Vissel Kobe,Midfielder,J. Tanaka,66,M. Inoha,66,0
Vissel Kobe,Attacker,Iniesta,86,L. Podolski,78,8
Olympique Lyonnais,Goalkeeper,A. Lopes,84,M. Gorgelin,68,16
Olympique Lyonnais,Defender,Marcelo,80,Rafael,79,1
Olympique Lyonnais,Midfielder,N. Fekir,85,T. Ndombele,80,5
Olympique Lyonnais,Attacker,M. Depay,84,M. Dembélé,76,8
Roma,Goalkeeper,A. Mirante,80,R. Olsen,76,4
Roma,Defender,K. Manolas,85,A. Florenzi,82,3
Roma,Midfielder,J. Pastore,82,S. Nzonzi,82,0
Roma,Attacker,E. Džeko,85,D. Perotti,81,4
Valencia CF,Goalkeeper,Neto,83,Jaume,76,7
Valencia CF,Defender,Gabriel Paulista,82,E. Garay,82,0
Valencia CF,Midfielder,Parejo,85,Gonçalo Guedes,82,3
Valencia CF,Attacker,Rodrigo,83,Santi Mina,80,3
Guangzhou Evergrande Taobao FC,Goalkeeper,Zeng Cheng,72,Liu Dianzuo,65,7
Guangzhou Evergrande Taobao FC,Defender,Feng Xiaoting,71,Li Xuepeng,70,1
Guangzhou Evergrande Taobao FC,Midfielder,Anderson Talisca,83,Yu Hanchao,72,11
Guangzhou Evergrande Taobao FC,Attacker,Ricardo Goulart,79,Alan Carvalho,76,3
FC Porto,Goalkeeper,Casillas,82,Fabiano,73,9
FC Porto,Defender,Alex Telles,84,Felipe,83,1
FC Porto,Midfielder,Y. Brahimi,85,Danilo Pereira,83,2
FC Porto,Attacker,M. Marega,80,V. Aboubakar,80,0
FC Schalke 04,Goalkeeper,R. Fährmann,83,A. Nübel,66,17
FC Schalke 04,Defender,Naldo,85,S. Sané,82,3
FC Schalke 04,Midfielder,S. Rudy,80,A. Harit,79,1
FC Schalke 04,Attacker,M. Uth,80,Y. Konoplyanka,79,1
Beşiktaş JK,Goalkeeper,L. Karius,79,T. Zengin,72,7
Beşiktaş JK,Defender,Pepe,85,G. Medel,81,4
Beşiktaş JK,Midfielder,Quaresma,84,A. Ljajić,80,4
Beşiktaş JK,Attacker,Vágner Love,77,C. Larin,75,2
LA Galaxy,Goalkeeper,D. Bingham,67,B. Sylvestre,63,4
LA Galaxy,Defender,A. Cole,71,M. Ciani,69,2
LA Galaxy,Midfielder,R. Alessandrini,78,J. dos Santos,77,1
LA Galaxy,Attacker,Z. Ibrahimović,85,O. Kamara,75,10
Sporting CP,Goalkeeper,E. Viviano,82,Renan Ribeiro,77,5
Sporting CP,Defender,S. Coates,82,J. Mathieu,81,1
Sporting CP,Midfielder,Bruno Fernandes,84,Nani,81,3
Sporting CP,Attacker,B. Dost,83,F. Montero,76,7
Real Betis,Goalkeeper,Pau López,82,Joel Robles,75,7
Real Betis,Defender,Bartra,82,Z. Feddal,80,2
Real Betis,Midfielder,William Carvalho,84,A. Guardado,82,2
Real Betis,Attacker,Joaquín,81,A. Sanabria,79,2
Olympique de Marseille,Goalkeeper,S. Mandanda,83,Y. Pelé,75,8
Olympique de Marseille,Defender,Luiz Gustavo,83,A. Rami,82,1
Olympique de Marseille,Midfielder,F. Thauvin,84,D. Payet,84,0
Olympique de Marseille,Attacker,V. Germain,77,K. Mitroglou,77,0
RC Celta,Goalkeeper,Sergio,78,Rubén Blanco,76,2
RC Celta,Defender,Hugo Mallo,80,David Juncà,76,4
RC Celta,Midfielder,S. Lobotka,78,S. Boufal,77,1
RC Celta,Attacker,Iago Aspas,84,M. Gómez,80,4
Bayer 04 Leverkusen,Goalkeeper,L. Hrádecký,84,R. Özcan,75,9
Bayer 04 Leverkusen,Defender,J. Tah,83,L. Bender,83,0
Bayer 04 Leverkusen,Midfielder,J. Brandt,82,L. Bailey,81,1
Bayer 04 Leverkusen,Attacker,K. Volland,81,L. Alario,79,2
Real Sociedad,Goalkeeper,G. Rulli,80,Moyá,80,0
Real Sociedad,Defender,Diego Llorente,77,T. Hernández,77,0
Real Sociedad,Midfielder,Oyarzabal,80,Juanmi,76,4
Real Sociedad,Attacker,Willian José,82,A. Januzaj,78,4
Villarreal CF,Goalkeeper,Sergio Asenjo,84,M. Barbosa,76,8
Villarreal CF,Defender,Víctor Ruiz,82,Mario Gaspar,80,2
Villarreal CF,Midfielder,Manu Trigueros,83,Pablo Fornals,81,2
Villarreal CF,Attacker,Gerard Moreno,83,C. Bacca,81,2
Sevilla FC,Goalkeeper,T. Vaclík,80,Soriano,68,12
Sevilla FC,Defender,S. Kjær,81,G. Mercado,79,2
Sevilla FC,Midfielder,E. Banega,84,Q. Promes,83,1
Sevilla FC,Attacker,W. Ben Yedder,82,L. Muriel,80,2
SL Benfica,Goalkeeper,O. Vlachodimos,76,Bruno Varela,74,2
SL Benfica,Defender,Jardel,82,Grimaldo,81,1
SL Benfica,Midfielder,Pizzi,83,L. Fejsa,82,1
SL Benfica,Attacker,Jonas,84,E. Salvio,81,3
AS Saint-Étienne,Goalkeeper,S. Ruffier,84,J. Moulin,68,16
AS Saint-Étienne,Defender,L. Perrin,80,M. Debuchy,78,2
AS Saint-Étienne,Midfielder,R. Cabella,78,Y. Salibur,76,2
AS Saint-Étienne,Attacker,R. Berić,75,M. Gueye,62,13
AS Monaco,Goalkeeper,D. Subašić,83,D. Benaglio,77,6
AS Monaco,Defender,K. Glik,83,D. Sidibé,79,4
AS Monaco,Midfielder,Rony Lopes,80,A. Golovin,79,1
AS Monaco,Attacker,Falcao,84,S. Jovetić,79,5
Leicester City,Goalkeeper,K. Schmeichel,84,D. Ward,73,11
Leicester City,Defender,H. Maguire,82,Ricardo Pereira,81,1
Leicester City,Midfielder,Iborra,79,Adrien Silva,79,0
Leicester City,Attacker,J. Vardy,82,S. Okazaki,75,7
Atalanta,Goalkeeper,P. Gollini,71,F. Rossi,60,11
Atalanta,Defender,A. Masiello,79,Rafael Tolói,78,1
Atalanta,Midfielder,J. Iličić,81,E. Rigoni,78,3
Atalanta,Attacker,A. Gómez,84,D. Zapata,78,6
Grêmio,Goalkeeper,Raphaelito Anjos,82,Adrianiscito,74,8
Grêmio,Defender,Josué Chiamulera,83,Everticinho,78,5
Grêmio,Midfielder,Edercinho Sepa,74,Marlon Nideiro,74,0
Grêmio,Attacker,Ronaldo Cabrais,83,José Mirazar,75,8
Atlético Mineiro,Goalkeeper,Freder Cabral,73,Kaíque Mutto,69,4
Atlético Mineiro,Defender,Maikel Catarino,79,Ronaldo Esler,78,1
Atlético Mineiro,Midfielder,Rosberto Dourado,82,Simão Acunha,77,5
Atlético Mineiro,Attacker,Louri Beretta,83,Evandro Rochedo,73,10
RB Leipzig,Goalkeeper,P. Gulácsi,80,Y. Mvogo,75,5
RB Leipzig,Defender,W. Orban,79,M. Halstenberg,78,1
RB Leipzig,Midfielder,K. Kampl,83,E. Forsberg,82,1
RB Leipzig,Attacker,T. Werner,83,Bruma,79,4
Ajax,Goalkeeper,A. Onana,80,K. Lamprou,73,7
Ajax,Defender,M. de Ligt,82,N. Tagliafico,80,2
Ajax,Midfielder,H. Ziyech,83,D. Tadić,81,2
Ajax,Attacker,David Neres,79,K. Huntelaar,77,2
Dalian YiFang FC,Goalkeeper,Yu Ziqian,63,Zhang Chong,58,5
Dalian YiFang FC,Defender,Yang Shanping,62,Li Shuai,62,0
Dalian YiFang FC,Midfielder,Y. Carrasco,83,N. Gaitán,82,1
Dalian YiFang FC,Attacker,D. Riascos,72,N. Mushekwi,72,0
Everton,Goalkeeper,J. Pickford,83,M. Stekelenburg,73,10
Everton,Defender,M. Keane,80,L. Digne,80,0
Everton,Midfielder,G. Sigurðsson,82,Bernard,80,2
Everton,Attacker,Richarlison,79,C. Tosun,79,0
West Ham United,Goalkeeper,L. Fabiański,81,N. Trott,59,22
West Ham United,Defender,F. Balbuena,80,A. Ogbonna,77,3
West Ham United,Midfielder,Felipe Anderson,83,M. Lanzini,81,2
West Ham United,Attacker,M. Arnautović,82,J. Hernández,79,3
1. FC Köln,Goalkeeper,T. Horn,83,T. Kessler,71,12
1. FC Köln,Defender,J. Hector,79,Jorge Meré,77,2
1. FC Köln,Midfielder,V. Koziello,76,L. Schaub,75,1
1. FC Köln,Attacker,S. Terodde,76,J. Córdoba,74,2
TSG 1899 Hoffenheim,Goalkeeper,O. Baumann,83,G. Kobel,66,17
TSG 1899 Hoffenheim,Defender,K. Vogt,81,P. Kadeřábek,80,1
TSG 1899 Hoffenheim,Midfielder,A. Kramarić,82,K. Demirbay,80,2
TSG 1899 Hoffenheim,Attacker,I. Belfodil,76,A. Szalai,76,0
Shanghai SIPG FC,Goalkeeper,Yan Junling,73,Sun Le,57,16
Shanghai SIPG FC,Defender,Wang Shenchao,68,Yu Hai,68,0
Shanghai SIPG FC,Midfielder,Oscar,83,Hulk,81,2
Shanghai SIPG FC,Attacker,Elkeson,79,Wu Lei,76,3
OGC Nice,Goalkeeper,W. Benítez,77,Y. Cardinale,75,2
OGC Nice,Defender,Dante,80,C. Hérelle,76,4
OGC Nice,Midfielder,P. Lees-Melou,78,W. Cyprien,77,1
OGC Nice,Attacker,M. Balotelli,83,A. Saint-Maximin,79,4
Al Nassr,Goalkeeper,B. Jones,75,W. Abdullah,63,12
Al Nassr,Defender,Bruno Uvini,72,O. Hawsawi,71,1
Al Nassr,Midfielder,Giuliano,83,A. Musa,75,8
Al Nassr,Attacker,A. Hamdallah,74,M. Al Sahlawi,69,5
Wolverhampton Wanderers,Goalkeeper,Rui Patrício,83,J. Ruddy,72,11
Wolverhampton Wanderers,Defender,Jonny,79,L. Dendoncker,78,1
Wolverhampton Wanderers,Midfielder,João Moutinho,81,Rúben Neves,80,1
Wolverhampton Wanderers,Attacker,Diogo Jota,78,R. Jiménez,78,0
Borussia Mönchengladbach,Goalkeeper,Y. Sommer,83,T. Sippel,74,9
Borussia Mönchengladbach,Defender,M. Ginter,80,N. Elvedi,77,3
Borussia Mönchengladbach,Midfielder,C. Kramer,81,J. Hofmann,79,2
Borussia Mönchengladbach,Attacker,A. Plea,81,T. Hazard,81,0
Hertha BSC,Goalkeeper,R. Jarstein,83,T. Kraft,76,7
Hertha BSC,Defender,K. Rekik,79,N. Stark,78,1
Hertha BSC,Midfielder,S. Kalou,79,V. Darida,78,1
Hertha BSC,Attacker,V. Ibišević,77,D. Selke,77,0
SV Werder Bremen,Goalkeeper,J. Pavlenka,82,J. Drobný,73,9
SV Werder Bremen,Defender,L. Augustinsson,77,S. Langkamp,76,1
SV Werder Bremen,Midfielder,D. Klaassen,79,N. Şahin,79,0
SV Werder Bremen,Attacker,M. Kruse,82,M. Harnik,77,5
Cruzeiro,Goalkeeper,Simão Donatinho,75,Nathael Silbeira,71,4
Cruzeiro,Defender,Juiano Mestres,82,Welington Dano,80,2
Cruzeiro,Midfielder,Jessé Ledeiro,72,Mauro Riboas,72,0
Cruzeiro,Attacker,Dênildo Stein,76,Sevinho Santos,70,6
Athletic Club de Bilbao,Goalkeeper,Álex Remiro,77,Unai Simón,72,5
Athletic Club de Bilbao,Defender,Iñigo Martínez,79,De Marcos,79,0
Athletic Club de Bilbao,Midfielder,Dani García,82,Muniain,80,2
Athletic Club de Bilbao,Attacker,Aduriz,82,Williams,81,1
Torino,Goalkeeper,S. Sirigu,82,A. Rosati,69,13
Torino,Defender,N. Nkoulou,80,A. Izzo,76,4
Torino,Midfielder,D. Baselli,79,C. Ansaldi,78,1
Torino,Attacker,A. Belotti,82,S. Zaza,81,1
Medipol Başakşehir FK,Goalkeeper,V. Babacan,77,M. Günok,72,5
Medipol Başakşehir FK,Defender,Júnior Caiçara,76,G. Clichy,76,0
Medipol Başakşehir FK,Midfielder,E. Višća,82,E. Belözoğlu,79,3
Medipol Başakşehir FK,Attacker,E. Adebayor,79,R. Bajić,71,8
Beijing Sinobo Guoan FC,Goalkeeper,Yang Zhi,65,Chi Wenyi,63,2
Beijing Sinobo Guoan FC,Defender,Yu Yang,68,Yu Dabao,67,1
Beijing Sinobo Guoan FC,Midfielder,Renato Augusto,81,Wei Shihao,70,11
Beijing Sinobo Guoan FC,Attacker,C. Bakambu,82,Jonathan Viera,82,0
Crystal Palace,Goalkeeper,Guaita,80,W. Hennessey,75,5
Crystal Palace,Defender,M. Sakho,79,J. Tomkins,78,1
Crystal Palace,Midfielder,M. Meyer,79,L. Milivojević,79,0
Crystal Palace,Attacker,W. Zaha,82,C. Benteke,76,6
PFC CSKA Moscow,Goalkeeper,I. Akinfeev,80,I. Pomazun,63,17
PFC CSKA Moscow,Defender,Mário Fernandes,82,V. Vasin,77,5
PFC CSKA Moscow,Midfielder,N. Vlašić,75,K. Nababkin,73,2
PFC CSKA Moscow,Attacker,A. Hernández,75,F. Chalov,71,4
VfL Wolfsburg,Goalkeeper,K. Casteels,82,P. Pervan,66,16
VfL Wolfsburg,Defender,J. Brooks,79,J. Roussillon,79,0
VfL Wolfsburg,Midfielder,Camacho,80,J. Guilavogui,79,1
VfL Wolfsburg,Attacker,W. Weghorst,78,D. Ginczek,77,1
Shakhtar Donetsk,Goalkeeper,A. Pyatov,77,O. Shevchenko,70,7
Shakhtar Donetsk,Defender,Ismaily,80,Y. Rakitskyi,80,0
Shakhtar Donetsk,Midfielder,Taison,82,Marlos,82,0
Shakhtar Donetsk,Attacker,Júnior Moraes,76,O. Kayode,74,2
Toronto FC,Goalkeeper,A. Bono,68,C. Irwin,65,3
Toronto FC,Defender,G. van der Wiel,73,C. Mavinga,72,1
Toronto FC,Midfielder,Víctor Vázquez,76,M. Bradley,76,0
Toronto FC,Attacker,S. Giovinco,82,J. Altidore,76,6
Lokomotiv Moscow,Goalkeeper,Guilherme,78,A. Kochenkov,68,10
Lokomotiv Moscow,Defender,V. Ćorluka,82,B. Höwedes,81,1
Lokomotiv Moscow,Midfielder,Manuel Fernandes,81,J. Farfán,79,2
Lokomotiv Moscow,Attacker,F. Smolov,81,Éder,75,6
Sassuolo,Goalkeeper,A. Consigli,82,G. Pegolo,71,11
Sassuolo,Defender,G. Ferrari,75,M. Lemos,75,0
Sassuolo,Midfielder,K. Boateng,81,M. Locatelli,75,6
Sassuolo,Attacker,D. Berardi,78,F. Di Francesco,76,2
New York City FC,Goalkeeper,S. Johnson,70,B. Stuver,64,6
New York City FC,Defender,R. Matarrita,71,A. Callens,71,0
New York City FC,Midfielder,M. Moralez,76,A. Ring,75,1
New York City FC,Attacker,David Villa,82,I. Tajouri-Shradi,71,11
Fluminense,Goalkeeper,Kaíquão Castro,75,Wiliam Santinho,71,4
Fluminense,Defender,Andeson Trigo,76,Kaimo Lima,75,1
Fluminense,Midfielder,Laure Santeiro,81,Everton Andrão,80,1
Fluminense,Attacker,Nicholas Aldair,75,Adão Morrinhos,68,7
PSV,Goalkeeper,J. Zoet,80,E. Room,74,6
PSV,Defender,D. Schwaab,77,Angeliño,77,0
PSV,Midfielder,G. Pereiro,77,J. Hendrix,77,0
PSV,Attacker,H. Lozano,81,L. de Jong,80,1
Levante UD,Goalkeeper,Oier,75,Aitor,72,3
Levante UD,Defender,E. Cabaco,75,Postigo,75,0
Levante UD,Midfielder,Campaña,79,E. Bardhi,77,2
Levante UD,Attacker,Morales,81,Roger,79,2
Fulham,Goalkeeper,Sergio Rico,79,Fabricio,79,0
Fulham,Defender,A. Mawson,75,T. Fosu-Mensah,74,1
Fulham,Midfielder,A. Schürrle,77,R. Sessegnon,75,2
Fulham,Attacker,A. Mitrović,77,L. Vietto,76,1
Watford,Goalkeeper,Gomes,77,P. Dahlberg,67,10
Watford,Defender,J. Holebas,78,D. Janmaat,77,1
Watford,Midfielder,R. Pereyra,80,W. Hughes,77,3
Watford,Attacker,Deulofeu,80,A. Gray,76,4
Atlanta United,Goalkeeper,B. Guzan,73,A. Kann,66,7
Atlanta United,Defender,L. González Pirez,75,G. Garza,70,5
Atlanta United,Midfielder,M. Almirón,80,H. Villalba,75,5
Atlanta United,Attacker,J. Martínez,81,R. Williams,64,17
Montpellier HSC,Goalkeeper,B. Lecomte,81,J. Ligali,67,14
Montpellier HSC,Defender,Pedro Mendes,78,Hilton,78,0
Montpellier HSC,Midfielder,E. Skhiri,77,F. Mollet,76,1
Montpellier HSC,Attacker,G. Laborde,76,A. Delort,76,0
Galatasaray SK,Goalkeeper,F. Muslera,81,I. Çipe,64,17
Galatasaray SK,Defender,Maicon,80,Mariano,79,1
Galatasaray SK,Midfielder,Y. Belhanda,79,S. Feghouli,79,0
Galatasaray SK,Attacker,H. Onyekuru,76,E. Derdiyok,73,3
Fenerbahçe SK,Goalkeeper,H. Tekin,76,C. Kameni,75,1
Fenerbahçe SK,Defender,M. Škrtel,80,D. Reyes,76,4
Fenerbahçe SK,Midfielder,M. Valbuena,81,A. Ayew,77,4
Fenerbahçe SK,Attacker,Soldado,76,I. Slimani,76,0
SD Eibar,Goalkeeper,M. Dmitrović,79,Riesgo,73,6
SD Eibar,Defender,Arbilla,78,Iván Ramis,77,1
SD Eibar,Midfielder,Pedro León,81,Joan Jordán,78,3
SD Eibar,Attacker,Sergi Enrich,80,Kike García,79,1
Los Angeles FC,Goalkeeper,T. Miller,67,L. López,64,3
Los Angeles FC,Defender,W. Zimmerman,72,Danilo Silva,71,1
Los Angeles FC,Midfielder,B. Feilhaber,75,L. Nguyen,75,0
Los Angeles FC,Attacker,C. Vela,81,D. Rossi,72,9
Sampdoria,Goalkeeper,Rafael,74,E. Audero,73,1
Sampdoria,Defender,L. Tonelli,77,O. Colley,76,1
Sampdoria,Midfielder,G. Ramírez,79,R. Saponara,78,1
Sampdoria,Attacker,F. Quagliarella,81,G. Defrel,78,3
Al Hilal,Goalkeeper,A. Al Habsi,72,A. Al Mayoof,66,6
Al Hilal,Defender,Botía,73,Y. Al Shahrani,72,1
Al Hilal,Midfielder,A. Carrillo,78,Carlos Eduardo,77,1
Al Hilal,Attacker,B. Gomis,81,O. Kharbin,75,6
VfB Stuttgart,Goalkeeper,R. Zieler,79,J. Grahl,69,10
VfB Stuttgart,Defender,B. Pavard,80,Pablo Maffeo,78,2
VfB Stuttgart,Midfielder,D. Didavi,80,S. Ascacíbar,78,2
VfB Stuttgart,Attacker,M. Gómez,80,C. Akolo,73,7
SC Braga,Goalkeeper,Matheus,78,Marafona,75,3
SC Braga,Defender,Raúl,80,Marcelo Goiano,78,2
SC Braga,Midfielder,Ricardo Horta,79,João Novais,78,1
SC Braga,Attacker,Dyego Sousa,78,Wilson Eduardo,77,1
River Plate,Goalkeeper,F. Armani,80,G. Lux,71,9
River Plate,Defender,J. Pinola,77,J. Maidana,77,0
River Plate,Midfielder,G. Martínez,78,J. Quintero,78,0
River Plate,Attacker,L. Pratto,78,R. Borré,75,3
Deportivo Alavés,Goalkeeper,Pacheco,80,Sivera,71,9
Deportivo Alavés,Defender,Laguardia,77,Rubén Duarte,76,1
Deportivo Alavés,Midfielder,Ibai Gómez,79,Manu García,78,1
Deportivo Alavés,Attacker,J. Guidetti,78,J. Calleri,77,1
Free Agent,Goalkeeper,A. Lunev,79,J. Villar,77,2
Free Agent,Defender,A. Granqvist,80,I. Smolnikov,79,1
Free Agent,Midfielder,L. Paredes,80,D. Kuzyaev,77,3
Free Agent,Attacker,A. Dzyuba,78,G. Sio,77,1
Eintracht Frankfurt,Goalkeeper,K. Trapp,80,F. Rønnow,75,5
Eintracht Frankfurt,Defender,D. Abraham,79,T. Chandler,77,2
Eintracht Frankfurt,Midfielder,A. Rebić,79,N. Müller,77,2
Eintracht Frankfurt,Attacker,S. Haller,80,L. Jović,78,2
Girona FC,Goalkeeper,Y. Bounou,77,Iraizoz,75,2
Girona FC,Defender,Granell,79,J. Mojica,78,1
Girona FC,Midfielder,Portu,80,Borja García,79,1
Girona FC,Attacker,C. Stuani,80,S. Doumbia,76,4
Guangzhou R&F; FC,Goalkeeper,Cheng Yuelei,68,Han Feng,58,10
Guangzhou R&F; FC,Defender,D. Tošić,74,Tang Miao,69,5
Guangzhou R&F; FC,Midfielder,Júnior Urso,75,Renatinho,74,1
Guangzhou R&F; FC,Attacker,E. Zahavi,80,Xiao Zhi,67,13
Burnley,Goalkeeper,N. Pope,80,T. Heaton,79,1
Burnley,Defender,J. Tarkowski,80,B. Mee,79,1
Burnley,Midfielder,S. Defour,80,J. Guðmundsson,79,1
Burnley,Attacker,C. Wood,77,A. Barnes,76,1
Stoke City,Goalkeeper,J. Butland,80,A. Federici,72,8
Stoke City,Defender,M. Bauer,74,R. Shawcross,74,0
Stoke City,Midfielder,Bojan,75,I. Afellay,74,1
Stoke City,Attacker,M. Diouf,74,T. Ince,73,1
Southampton,Goalkeeper,A. McCarthy,77,F. Forster,76,1
Southampton,Defender,J. Vestergaard,80,R. Bertrand,79,1
Southampton,Midfielder,M. Elyounoussi,79,M. Lemina,78,1
Southampton,Attacker,M. Gabbiadini,77,C. Austin,77,0
Tianjin Quanjian FC,Goalkeeper,Zhang Lu,66,Yang Jun,60,6
Tianjin Quanjian FC,Defender,Kwon Kyung Won,67,Mi Haolun,64,3
Tianjin Quanjian FC,Midfielder,Sun Ke,68,Wang Yongpo,66,2
Tianjin Quanjian FC,Attacker,Alexandre Pato,80,Wang Xiaolong,65,15
Getafe CF,Goalkeeper,David Soria,78,L. Chichizola,77,1
Getafe CF,Defender,Antunes,80,D. Djené,78,2
Getafe CF,Midfielder,Markel Bergara,77,G. Shibasaki,77,0
Getafe CF,Attacker,Ángel,79,Jorge Molina,77,2
Beijing Renhe FC,Goalkeeper,Zhang Lie,65,Li Chen,55,10
Beijing Renhe FC,Defender,Wang Gang,65,Liu Jian,64,1
Beijing Renhe FC,Midfielder,B. Moukandjo,77,A. Masika,67,10
Beijing Renhe FC,Attacker,M. Diop,74,Han Peng,65,9
Montreal Impact,Goalkeeper,E. Bush,70,C. Diop,63,7
Montreal Impact,Defender,R. Fanni,74,B. Sagna,74,0
Montreal Impact,Midfielder,S. Taïder,76,S. Piette,71,5
Montreal Impact,Attacker,I. Piatti,80,A. Silva,75,5
Chievo Verona,Goalkeeper,S. Sorrentino,80,A. Seculin,70,10
Chievo Verona,Defender,L. Rossettini,76,N. Tomović,75,1
Chievo Verona,Midfielder,V. Birsa,80,P. Hetemaj,77,3
Chievo Verona,Attacker,E. Giaccherini,77,R. Meggiorini,74,3
Genoa,Goalkeeper,F. Marchetti,77,I. Radu,69,8
Genoa,Defender,D. Criscito,80,L. López,77,3
Genoa,Midfielder,Iuri Medeiros,76,Rômulo,76,0
Genoa,Attacker,G. Lapadula,76,K. Piątek,74,2
Portland Timbers,Goalkeeper,J. Attinella,67,J. Gleeson,65,2
Portland Timbers,Defender,L. Mabiala,72,L. Ridgewell,69,3
Portland Timbers,Midfielder,D. Chará,74,D. Guzman,72,2
Portland Timbers,Attacker,D. Valeri,80,S. Blanco,76,4
Tigres U.A.N.L.,Goalkeeper,N. Guzmán,77,M. Ortega,61,16
Tigres U.A.N.L.,Defender,H. Ayala,75,J. Dueñas,74,1
Tigres U.A.N.L.,Midfielder,J. Aquino,77,E. Vargas,76,1
Tigres U.A.N.L.,Attacker,A. Gignac,80,E. Valencia,76,4
